epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9484,1.47605,3.60517,1.89484,0.56473,0.46555,0.42529,0.1655,1.89739,1.4342,1.98525,0.000195357,0.000195357,0.000195357
2,111.164,1.35981,1.85977,1.78322,0.43356,0.5234,0.42013,0.16535,1.90717,1.40362,1.96365,0.000388774,0.000388774,0.000388774
3,163.051,1.34399,1.65771,1.76634,0.54848,0.51243,0.50308,0.22466,1.70018,1.25294,1.81921,0.000579604,0.000579604,0.000579604
4,215.287,1.28626,1.55927,1.72762,0.565,0.50793,0.47771,0.23304,1.55754,1.23855,1.69,0.000576358,0.000576358,0.000576358
5,267.676,1.26759,1.48666,1.7238,0.50386,0.62714,0.55917,0.27282,1.56845,1.14445,1.72728,0.000572477,0.000572477,0.000572477
6,321.83,1.21402,1.39889,1.67719,0.60011,0.61348,0.59023,0.28963,1.55241,1.17705,1.64569,0.000568596,0.000568596,0.000568596
7,375.537,1.14628,1.34345,1.63404,0.66858,0.56576,0.62175,0.33277,1.48647,1.09717,1.63061,0.000564715,0.000564715,0.000564715
8,428.963,1.13933,1.32153,1.60843,0.54048,0.68304,0.63906,0.35918,1.47804,0.99612,1.56556,0.000560834,0.000560834,0.000560834
9,481.189,1.10042,1.26464,1.56477,0.63691,0.66903,0.64957,0.37238,1.41163,0.93762,1.53637,0.000556954,0.000556954,0.000556954
10,534.72,1.04689,1.19274,1.5188,0.57969,0.67293,0.65339,0.37526,1.32757,0.93389,1.41348,0.000553073,0.000553073,0.000553073
11,589.315,1.05816,1.18694,1.52825,0.65565,0.65715,0.67495,0.37872,1.38386,0.95346,1.50834,0.000549192,0.000549192,0.000549192
12,642.436,1.04487,1.13518,1.51202,0.71764,0.67828,0.75139,0.44659,1.33084,0.87163,1.39882,0.000545311,0.000545311,0.000545311
13,695.277,1.00354,1.12835,1.47378,0.70581,0.72041,0.7138,0.42484,1.28584,0.89402,1.39492,0.00054143,0.00054143,0.00054143
14,748.721,0.98575,1.07995,1.46388,0.77678,0.71062,0.73538,0.44288,1.2703,0.83876,1.36439,0.00053755,0.00053755,0.00053755
15,801.545,0.97707,1.05889,1.44363,0.69751,0.75417,0.72613,0.4575,1.2098,0.75511,1.29169,0.000533669,0.000533669,0.000533669
16,853.851,0.99667,1.04655,1.43858,0.66381,0.67306,0.72014,0.46252,1.25593,0.82343,1.28845,0.000529788,0.000529788,0.000529788
17,906.477,0.98142,1.03787,1.40754,0.70758,0.72135,0.7555,0.49279,1.18734,0.78048,1.26769,0.000525907,0.000525907,0.000525907
18,959.724,0.94613,1.00268,1.40552,0.71637,0.69914,0.72635,0.45685,1.22521,0.77237,1.30914,0.000522026,0.000522026,0.000522026
19,1011.51,0.95238,0.98727,1.39677,0.69117,0.72219,0.70677,0.46333,1.16881,0.8519,1.23488,0.000518146,0.000518146,0.000518146
20,1064.17,0.93803,0.99005,1.39468,0.73176,0.71975,0.74447,0.49501,1.20363,0.778,1.252,0.000514265,0.000514265,0.000514265
21,1117.45,0.90872,0.94832,1.36392,0.77667,0.75553,0.75934,0.47867,1.18284,0.74314,1.23492,0.000510384,0.000510384,0.000510384
22,1170.12,0.93436,0.9604,1.37619,0.81699,0.69502,0.78397,0.51142,1.18436,0.74694,1.2341,0.000506503,0.000506503,0.000506503
23,1222.51,0.8912,0.91966,1.3557,0.75821,0.74089,0.77315,0.50824,1.13529,0.78095,1.19429,0.000502622,0.000502622,0.000502622
24,1275.23,0.89654,0.92462,1.36403,0.81972,0.71,0.78387,0.52991,1.13619,0.72738,1.18436,0.000498742,0.000498742,0.000498742
25,1328.13,0.87602,0.91942,1.34044,0.81234,0.73727,0.78953,0.51026,1.15685,0.72377,1.23161,0.000494861,0.000494861,0.000494861
26,1381.47,0.88493,0.9057,1.33386,0.77768,0.77418,0.8074,0.52522,1.15702,0.72079,1.21569,0.00049098,0.00049098,0.00049098
27,1434.16,0.86155,0.89015,1.3315,0.76717,0.70735,0.75324,0.51325,1.13468,0.75409,1.18514,0.000487099,0.000487099,0.000487099
28,1487.81,0.88508,0.90972,1.32667,0.79878,0.67089,0.75444,0.50324,1.11739,0.73388,1.17878,0.000483218,0.000483218,0.000483218
29,1541.94,0.8643,0.88056,1.31698,0.83137,0.72173,0.7757,0.51321,1.11604,0.68737,1.1635,0.000479338,0.000479338,0.000479338
30,1595.82,0.85546,0.87915,1.30955,0.65891,0.80933,0.77041,0.51741,1.08787,0.69325,1.14505,0.000475457,0.000475457,0.000475457
31,1647.74,0.84575,0.88154,1.30758,0.81565,0.75202,0.78248,0.52448,1.15052,0.70243,1.20169,0.000471576,0.000471576,0.000471576
32,1699.73,0.84296,0.84348,1.30253,0.84256,0.70523,0.78592,0.53939,1.07905,0.69817,1.11478,0.000467695,0.000467695,0.000467695
33,1752.82,0.83787,0.84643,1.29939,0.76607,0.76737,0.80445,0.53513,1.10283,0.69464,1.17849,0.000463814,0.000463814,0.000463814
34,1804.91,0.83649,0.83673,1.29952,0.8826,0.76171,0.82757,0.56783,1.08933,0.64145,1.14215,0.000459934,0.000459934,0.000459934
35,1857.54,0.84515,0.81015,1.28716,0.86777,0.71868,0.7858,0.54336,1.07236,0.69248,1.1108,0.000456053,0.000456053,0.000456053
36,1912.39,0.82684,0.81072,1.2953,0.82881,0.75424,0.80159,0.54226,1.08418,0.67591,1.13607,0.000452172,0.000452172,0.000452172
37,1964.89,0.82482,0.80454,1.27017,0.85361,0.7686,0.81909,0.56528,1.0656,0.6389,1.11247,0.000448291,0.000448291,0.000448291
38,2016.73,0.80426,0.79191,1.26505,0.84601,0.75005,0.8117,0.55374,1.09346,0.66166,1.10988,0.00044441,0.00044441,0.00044441
39,2068.8,0.81853,0.78151,1.26767,0.86671,0.74933,0.80601,0.55364,1.04108,0.63692,1.1044,0.00044053,0.00044053,0.00044053
40,2120.78,0.82106,0.80617,1.28417,0.82576,0.77639,0.81854,0.57129,1.09756,0.6411,1.13607,0.000436649,0.000436649,0.000436649
41,2176.76,0.7991,0.78938,1.2711,0.68751,0.76439,0.80534,0.5575,1.06556,0.6768,1.12995,0.000432768,0.000432768,0.000432768
42,2230.13,0.79729,0.7508,1.25125,0.85523,0.76913,0.81823,0.55513,1.06138,0.62455,1.12547,0.000428887,0.000428887,0.000428887
43,2282.38,0.78647,0.76943,1.25055,0.88566,0.70966,0.81333,0.56991,1.05356,0.63221,1.10523,0.000425006,0.000425006,0.000425006
44,2334.84,0.78774,0.76489,1.25219,0.8871,0.74885,0.82027,0.58049,1.04973,0.60724,1.11018,0.000421126,0.000421126,0.000421126
45,2388.77,0.79361,0.73604,1.24474,0.85725,0.76294,0.81128,0.55971,1.06549,0.65107,1.09558,0.000417245,0.000417245,0.000417245
46,2442.9,0.79134,0.7409,1.247,0.86537,0.75682,0.81122,0.56337,1.04688,0.62261,1.10365,0.000413364,0.000413364,0.000413364
47,2495.87,0.78876,0.73982,1.23471,0.86203,0.74525,0.82154,0.57729,1.07883,0.6175,1.11462,0.000409483,0.000409483,0.000409483
48,2549.67,0.77993,0.7254,1.24045,0.82592,0.77427,0.81024,0.57567,1.03277,0.60816,1.06886,0.000405602,0.000405602,0.000405602
49,2609.64,0.77923,0.70887,1.22071,0.68396,0.78396,0.79432,0.55787,1.05423,0.63505,1.08381,0.000401722,0.000401722,0.000401722
50,2682.97,0.76798,0.72175,1.23626,0.84754,0.78136,0.83625,0.57207,1.0534,0.60093,1.1048,0.000397841,0.000397841,0.000397841
51,2742.99,0.77382,0.71348,1.2228,0.829,0.77614,0.81257,0.56825,1.06236,0.62725,1.08445,0.00039396,0.00039396,0.00039396
